Spin_Label,Rec_Label,Index,MAE,Spin_rad_s,Spin_rps
spin_0:,rec_1,2,0.6257593657099568,"[-164.97655648, -82.67984465, 47.23523599]",30.316568004950017
spin_1,rec_1,1,0.041771976905849724,"[-199.25294737, -128.95668929, -22.30681277]",37.94073542816279
spin_2,rec_1,0,0.0571650675775859,"[-186.18132144, -139.99901714, -110.25756108]",41.01751711080675
spin_3,rec_1,2,0.3693936899661996,"[-66.83858048, -93.46603021, -194.34594588]",35.93295727355125
spin_4,rec_1,0,0.05284169158899232,"[-136.37270418, -149.2818345, -259.76077506]",52.39032643721101
spin_5,rec_1,3,0.13322806519859082,"[-10.16590672, -65.67055464, -351.09676417]",56.8708750806871
spin_6,rec_1,0,0.06527792861213094,"[-76.48404449, -143.59184787, -559.06630852]",92.66912768603336
spin_7,rec_1,2,0.13321954938287633,"[-28.22854483, -110.08820848, -807.93259032]",129.852423512192
spin_-1,rec_1,0,0.06838515517087569,"[-299.25489401, -148.62289228, 106.94921154]",55.83603395669272
spin_-2,rec_1,0,0.4589297058505834,"[-338.16784076, -127.134545, 223.04864233]",67.5746057812383
spin_-3,rec_1,0,0.054595520986077097,"[-299.05294952, -149.25923558, 323.02051958]",73.97764902103866
spin_-4,rec_1,0,0.07926761329539006,"[-326.00148551, -138.26403206, 475.37114591]",94.34165332461149
spin_-5,rec_1,0,0.13718775668451563,"[-347.50819726, -172.72343538, 614.08251594]",115.61406249895383
spin_side_1,rec_1,0,0.07669391869401976,"[-532.85866145, -568.47387634, -1397.39888142]",254.63918188210016
spin_side_2,rec_1,1,0.14577819288657878,"[133.89740115, 72.2299502, -556.29279714]",91.78803160906945
